model,fold,system,pair_id,construct_i,construct_j,true_direction,predicted_direction,probability_i_gt_j,probability_j_gt_i,pairwise_margin,correct,literature_prior_logit,unordered_pair_counted_once
M2_PRIOR_PLUS_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_03,GIDAE_T01,GIDAE_T04,1,-1,0.311277418658591,0.6887225813414091,0.377445162682818,False,-1.420716422242209,True
M2_PRIOR_PLUS_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_04,GIDAE_T02,GIDAE_T03,-1,-1,0.29544008010867573,0.7045599198913243,0.40911983978264854,True,-0.5413236220073945,True
M2_PRIOR_PLUS_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_05,GIDAE_T02,GIDAE_T04,1,-1,0.38438871297749183,0.6156112870225081,0.23122257404501634,False,-0.9810200221248018,True
M2_PRIOR_PLUS_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_06,GIDAE_T03,GIDAE_T04,1,1,0.5982421151779063,0.40175788482209374,0.19648423035581253,True,-0.4396964001174073,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_01,GIDAE_T01,GIDAE_T02,1,1,0.8582584891717177,0.14174151082828235,0.7165169783434353,True,-0.4396964001174073,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_02,GIDAE_T01,GIDAE_T03,-1,1,0.7385898573785187,0.2614101426214813,0.47717971475703735,False,-0.9810200221248018,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_03,GIDAE_T01,GIDAE_T04,1,-1,0.4815033741583231,0.5184966258416769,0.03699325168335377,False,-1.420716422242209,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_04,GIDAE_T02,GIDAE_T03,-1,-1,0.3181583779318156,0.6818416220681844,0.36368324413636877,True,-0.5413236220073945,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_05,GIDAE_T02,GIDAE_T04,1,-1,0.13297339956541485,0.8670266004345851,0.7340532008691703,False,-0.9810200221248018,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GI-DAE,GIDAE_PAIR_06,GIDAE_T03,GIDAE_T04,1,-1,0.24737299708455343,0.7526270029154466,0.5052540058308932,False,-0.4396964001174073,True
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GP-PGM,GPPGM_PAIR_01,GPTRC_T01,GPTRC_T02,1,1,0.6344078271002894,0.3655921728997106,0.26881565420057885,True,-0.4396964001174073,True
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GP-PGM,GPPGM_PAIR_02,GPTRC_T01,GPTRC_T03,-1,1,0.6682424659723298,0.33175753402767016,0.33648493194465967,False,-0.9810200221248018,True
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GP-PGM,GPPGM_PAIR_03,GPTRC_T01,GPTRC_T04,1,1,0.7090585824082267,0.2909414175917733,0.41811716481645345,True,-1.420716422242209,True
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GP-PGM,GPPGM_PAIR_04,GPTRC_T02,GPTRC_T03,-1,1,0.5371994159607457,0.4628005840392543,0.07439883192149144,False,-0.5413236220073945,True
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GP-PGM,GPPGM_PAIR_05,GPTRC_T02,GPTRC_T04,1,1,0.5841037131937982,0.41589628680620183,0.16820742638759634,True,-0.9810200221248018,True
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GP-PGM,GPPGM_PAIR_06,GPTRC_T03,GPTRC_T04,1,1,0.5474987168877042,0.45250128311229576,0.09499743377540848,True,-0.4396964001174073,True
M1_LITERATURE_PRIOR,GP-PGM,GP-PGM,GPPGM_PAIR_01,GPTRC_T01,GPTRC_T02,1,-1,0.39181331340533504,0.608186686594665,0.21637337318932992,False,-0.4396964001174073,True
