model,system,construct,predicted_win_probability,predicted_rank,observed_rank,observed_rank_score,is_predicted_top1,top1_correct,is_predicted_top2,top2_set_correct
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T01,0.28635068167513694,4,2,3.0,False,False,False,False
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T04,0.713649318324863,1,4,1.0,True,False,True,False
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T03,0.5837480499108446,2,3,2.0,False,False,True,False
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T02,0.41625195008915544,3,1,4.0,False,False,False,False
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T01,0.28635068167513694,4,2,3.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T01,0.6876742416892107,1,1,4.0,True,True,True,True
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T03,0.6010605352485463,2,2,3.0,False,False,True,True
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T02,0.5889839703859362,3,3,2.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T04,0.12228125267630689,4,4,1.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T03,0.6899847292302255,1,1,4.0,True,True,True,False
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T04,0.5686972510620036,2,4,1.0,False,False,True,False
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T02,0.4199769688702666,3,3,2.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T01,0.32134105083750425,4,2,3.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T01,0.9656542491589105,1,2,3.0,True,False,True,False
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T02,0.6364648148396762,2,3,2.0,False,False,True,False
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T03,0.38907841600844056,3,1,4.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T04,0.008802519992972694,4,4,1.0,False,False,False,False
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T02,0.820253405877744,1,1,4.0,True,True,True,True
